# The CITY picklist's shipped catalogue — name,lat,lng (the note the directory sorts by).
# Seeded into platform_options; the admin owns it at /admin/options after that.
Delhi,28.6139,77.2090
Gurugram,28.4595,77.0266
Noida,28.5355,77.3910
Greater Noida,28.4744,77.5040
Ghaziabad,28.6692,77.4538
Faridabad,28.4089,77.3178
Sonipat,28.9931,77.0151
Panipat,29.3909,76.9635
Karnal,29.6857,76.9905
Rohtak,28.8955,76.6066
Hisar,29.1492,75.7217
Ambala,30.3782,76.7767
Chandigarh,30.7333,76.7794
Mohali,30.7046,76.7179
Panchkula,30.6942,76.8606
Ludhiana,30.9010,75.8573
Amritsar,31.6340,74.8723
Jalandhar,31.3260,75.5762
Patiala,30.3398,76.3869
Bathinda,30.2110,74.9455
Shimla,31.1048,77.1734
Dharamshala,32.2190,76.3234
Solan,30.9045,77.0967
Jammu,32.7266,74.8570
Srinagar,34.0837,74.7973
Leh,34.1526,77.5771
Dehradun,30.3165,78.0322
Haridwar,29.9457,78.1642
Rishikesh,30.0869,78.2676
Haldwani,29.2183,79.5130
Roorkee,29.8543,77.8880
Jaipur,26.9124,75.7873
Jodhpur,26.2389,73.0243
Udaipur,24.5854,73.7125
Kota,25.2138,75.8648
Ajmer,26.4499,74.6399
Bikaner,28.0229,73.3119
Alwar,27.5530,76.6346
Bhilwara,25.3407,74.6313
Sikar,27.6094,75.1399
Lucknow,26.8467,80.9462
Kanpur,26.4499,80.3319
Agra,27.1767,78.0081
Varanasi,25.3176,82.9739
Prayagraj,25.4358,81.8463
Meerut,28.9845,77.7064
Bareilly,28.3670,79.4304
Aligarh,27.8974,78.0880
Moradabad,28.8386,78.7733
Gorakhpur,26.7606,83.3732
Jhansi,25.4484,78.5685
Mathura,27.4924,77.6737
Ayodhya,26.7922,82.1998
Saharanpur,29.9640,77.5460
Firozabad,27.1591,78.3958
Muzaffarnagar,29.4727,77.7085
Patna,25.5941,85.1376
Gaya,24.7955,85.0002
Muzaffarpur,26.1209,85.3647
Bhagalpur,25.2425,86.9842
Darbhanga,26.1542,85.8918
Ranchi,23.3441,85.3096
Jamshedpur,22.8046,86.2029
Dhanbad,23.7957,86.4304
Bokaro,23.6693,86.1511
Kolkata,22.5726,88.3639
Howrah,22.5958,88.2636
Siliguri,26.7271,88.3953
Durgapur,23.5204,87.3119
Asansol,23.6739,86.9524
Darjeeling,27.0360,88.2627
Bhubaneswar,20.2961,85.8245
Cuttack,20.4625,85.8830
Rourkela,22.2604,84.8536
Puri,19.8135,85.8312
Guwahati,26.1445,91.7362
Dibrugarh,27.4728,94.9120
Silchar,24.8333,92.7789
Shillong,25.5788,91.8933
Imphal,24.8170,93.9368
Aizawl,23.7271,92.7176
Agartala,23.8315,91.2868
Kohima,25.6751,94.1086
Dimapur,25.9063,93.7276
Itanagar,27.0844,93.6053
Gangtok,27.3314,88.6138
Raipur,21.2514,81.6296
Bhilai,21.1938,81.3509
Bilaspur,22.0797,82.1409
Korba,22.3595,82.7501
Bhopal,23.2599,77.4126
Indore,22.7196,75.8577
Jabalpur,23.1815,79.9864
Gwalior,26.2183,78.1828
Ujjain,23.1793,75.7849
Sagar,23.8388,78.7378
Rewa,24.5373,81.3042
Mumbai,19.0760,72.8777
Navi Mumbai,19.0330,73.0297
Thane,19.2183,72.9781
Kalyan-Dombivli,19.2437,73.1355
Vasai-Virar,19.4259,72.8225
Pune,18.5204,73.8567
Pimpri-Chinchwad,18.6298,73.7997
Nashik,19.9975,73.7898
Nagpur,21.1458,79.0882
Chhatrapati Sambhajinagar,19.8762,75.3433
Solapur,17.6599,75.9064
Kolhapur,16.7050,74.2433
Amravati,20.9374,77.7796
Nanded,19.1383,77.3210
Sangli,16.8524,74.5815
Satara,17.6805,74.0183
Ahmednagar,19.0948,74.7480
Jalgaon,21.0077,75.5626
Ratnagiri,16.9902,73.3120
Panaji,15.4909,73.8278
Margao,15.2832,73.9862
Vasco da Gama,15.3860,73.8157
Ahmedabad,23.0225,72.5714
Surat,21.1702,72.8311
Vadodara,22.3072,73.1812
Rajkot,22.3039,70.8022
Bhavnagar,21.7645,72.1519
Jamnagar,22.4707,70.0577
Gandhinagar,23.2156,72.6369
Junagadh,21.5222,70.4579
Anand,22.5645,72.9289
Bharuch,21.7051,72.9959
Bhuj,23.2420,69.6669
Bengaluru,12.9716,77.5946
Mysuru,12.2958,76.6394
Mangaluru,12.9141,74.8560
Hubballi-Dharwad,15.3647,75.1240
Belagavi,15.8497,74.4977
Davangere,14.4644,75.9218
Shivamogga,13.9299,75.5681
Tumakuru,13.3379,77.1173
Ballari,15.1394,76.9214
Udupi,13.3409,74.7421
Hyderabad,17.3850,78.4867
Secunderabad,17.4399,78.4983
Warangal,17.9689,79.5941
Nizamabad,18.6725,78.0941
Karimnagar,18.4386,79.1288
Khammam,17.2473,80.1514
Visakhapatnam,17.6868,83.2185
Vijayawada,16.5062,80.6480
Guntur,16.3067,80.4365
Tirupati,13.6288,79.4192
Nellore,14.4426,79.9865
Rajahmundry,17.0005,81.8040
Kakinada,16.9891,82.2475
Kurnool,15.8281,78.0373
Anantapur,14.6819,77.6006
Chennai,13.0827,80.2707
Coimbatore,11.0168,76.9558
Madurai,9.9252,78.1198
Tiruchirappalli,10.7905,78.7047
Salem,11.6643,78.1460
Tirunelveli,8.7139,77.7567
Erode,11.3410,77.7172
Vellore,12.9165,79.1325
Thoothukudi,8.7642,78.1348
Thanjavur,10.7870,79.1378
